"","gene_symbol","2021_02_12_DS1_Cell","2021_02_12_DS1_Pt","2021_02_12_DS76_Cell","2021_02_12_DS81_Cell","2024_07_02_DS76_Pt","2024_07_02_DS81_Pt"
"15499","H2BC21",604,1260,129,102,1088,804
"15500","CLDN6",0,0,0,0,2,7
"15501","OR51M1",0,2,0,0,5,4
"15502","SEPTIN5",2570,633,308,109,192,408
"15503","EIF4ENIF1",338,402,264,501,526,876
"15504","LRRC26",693,177,17,14,18,5
"15505","SERINC4",7,9,7,1,9,39
"15506","RNLS",67,65,31,60,79,70
"15507","KRTAP6-1",0,0,0,0,0,0
"15508","APOBR",0,414,688,0,0,725
"15509","FAM110C",0,0,0,10,54,6
"15510","DDX53",0,0,0,0,0,0
"15511","OR5AQ1P",0,0,0,0,0,0
"15512","ATL3",7380,5780,2707,3137,1376,1502
"15513","NDUFA12",1722,1845,1749,1380,1019,1876
"15515","MGAT4EP",5,0,0,3,0,0
"15516","SMIM10",141,51,14,1,9,3
"15517","DYNLT2",241,180,39,26,0,0
"15518","UBE2G2",8452,9467,6195,7997,7072,7967
"15519","SATL1",114,91,34,34,90,16
"15520","OR4C10P",0,0,0,0,0,0
"15521","OSBP2",0,2656,0,3,285,238
"15523","TRARG1",0,0,0,0,0,0
"15524","PRR23B",0,0,0,0,0,0
"15525","ZBTB7C",2,6,103,2,6,3
"15526","APOO",579,783,269,257,228,297
"15527","PRR16",0,0,0,0,0,0
"15528","TMED9",5405,6116,3838,5141,3880,10485
"15530","DRD1",0,0,0,0,0,0
"15531","TMEM186",497,296,284,329,326,671
"15532","SDR42E1",4,5,0,0,7,3
"15533","RBM33",7164,7675,3634,3344,5477,2900
"15534","ARMCX2",4070,3245,37,243,239,815
"15535","BTBD6",1345,2128,1288,751,1246,7398
"15536","SRY",0,0,0,0,0,0
"15537","H1-10",11254,25690,8689,6725,14917,17335
"15538","RBM43",325,297,277,361,216,44
"15539","SUMO3",39,82,72,129,282,198
"15540","IMMP2L",362,298,198,248,98,105
"15541","TCEAL2",0,9,0,0,0,6
"15543","CLCNKB",0,0,0,0,0,8
"15544","DMRTC1B",0,0,0,2,0,25
"15545","JAG2",766,293,19,224,54,2202
"15546","FMNL1",3137,8328,3841,1692,11120,8659
"15547","NUTM2A",67,151,48,125,69,225
"15548","PTRHD1",588,668,818,580,788,746
"15549","LCN12",35,6,5,2,18,109
"15550","OR6A2",0,0,0,0,0,0
"15551","WT1",639,350,1209,1045,698,214
"15552","ZFP90",2870,1869,308,556,759,1205
"15553","AQP12A",4,4,0,0,0,1
"15554","FAM227A",201,30,13,18,35,77
"15555","OR6C70",0,0,0,0,0,0
"15556","MUC6",0,0,0,0,0,0
"15558","NOC4L",2038,2188,1525,1744,1327,3981
"15559","USP18",492,1333,894,56,1546,1454
"15560","NDUFA6",85,32,5,105,608,3824
"15561","CHRM5",5,0,1,6,5,0
"15562","SORCS2",0,0,0,0,26,5
"15563","TMEM121",63,17,20,105,17,208
"15564","TMEM106A",1495,1891,834,776,1551,627
"15565","SIVA1",1378,2023,724,443,1533,1712
"15566","BRI3BP",4929,4770,4888,6318,2320,1097
"15567","IFNE",0,0,0,0,0,0
"15568","SLC22A10",0,0,0,0,0,0
"15569","DGAT1",2108,2701,1159,1678,2434,7246
"15570","RFX6",0,0,0,0,0,1
"15571","ROBO2",0,0,0,0,0,0
"15572","AP3M1",5000,4272,3579,4558,1875,929
"15573","F8",84,94,5,15,7,13
"15574","NT5C1B",0,0,0,0,0,0
"15575","CA13",25,15,12,27,62,70
"15576","UBOX5",639,567,553,467,516,849
"15577","MAFF",395,273,617,140,102,211
"15578","BRF1",3763,3412,3976,2033,4199,7922
"15579","LRRC14B",2396,378,6839,3107,502,223
"15581","SEMA4B",446,334,448,514,944,1072
"15583","MROH2A",0,0,0,0,0,0
"15584","SPDYE16",0,0,0,0,0,3
"15585","CIB1",126,145,100,90,996,1427
"15586","ANKS1B",16,4,0,1,0,5
"15587","NELFA",2931,2946,1961,2321,1569,1904
"15588","SGCZ",0,0,0,0,0,0
"15589","EFCAB10",5,0,0,0,0,0
"15590","C5orf47",0,0,0,1,0,0
"15591","KRT76",0,0,0,0,0,0
"15592","FLRT2",15,3,0,4,37,14
"15594","RPL9P14",1,0,0,0,0,0
"15595","INTS5",1664,1246,1297,1122,1454,2494
"15596","RPS27L",779,638,1159,456,1034,1084
"15597","MANEAL",1266,695,603,814,73,726
"15598","ADSS1",58,12,7,66,13,60
"15599","ANO9",7,85,21,5,134,337
"15600","FAF1",2448,2644,2039,1892,1437,932
"15601","MYADML2",0,0,18,0,0,1
"15602","FAM43A",356,329,651,1220,952,1674
"15603","NSMCE3",25,12,30,30,23,11
"15604","HSF1",5445,5541,3591,4298,3626,8669
"15605","C6orf120",696,570,669,608,519,230
"15606","PURA",2552,1493,995,1516,706,237
"15607","H2BC13",7,19,2,7,61,40
"15608","INPP5J",2,1,1,0,2,118
"15609","NPY2R",0,0,0,0,0,0
"15610","MIXL1",34,8,37,0,7,11
"15611","MFSD6L",2,4,9,0,43,17
"15612","LRRC37B",1399,1495,662,422,1034,410
"15613","DDX51",2793,2874,1324,1666,2353,4766
"15614","NOMO2",6509,7524,2958,5163,1672,6214
"15615","AQP12B",0,11,0,13,0,46
"15616","ZNF479",0,0,0,0,0,0
"15617","GOLGA8EP",0,0,0,0,0,0
"15618","SIGIRR",2506,2015,990,773,2599,8366
"15619","NRBP2",153,252,36,234,349,652
"15620","PRSS57",1057,1518,783,11,1954,228
"15621","IFITM2",3881,7616,4763,6919,4704,21348
"15622","TNFAIP2",202,2278,941,98,2333,2190
"15623","ZNF445",5286,3098,2269,3230,2451,1638
