"","id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DS1_Cell","DS1_Pt","DS76_Cell","DS81_Cell","DS76_Pt","DS81_Pt"
"43","SLC11A1",285.632285748971,-3.90594744100947,0.835267900397478,-4.67628103408589,2.92124204886594e-06,0.000707752721309674,75,126,34,13,573,802
"44","GDPD5",887.704311331562,-2.83732926919754,0.606778628016328,-4.67605340430874,2.92448477561537e-06,0.000707752721309674,368,927,169,172,1080,2528
"45","SLFN5",1241.76368252236,3.21973431125726,0.68907748818345,4.67252865819944,2.97513988406682e-06,0.000707752721309674,2686,244,3727,556,296,191
"46","NRXN2",748.62716599137,-4.1227139879794,0.886824556535716,-4.64884960344843,3.33791479624797e-06,0.000776790823779012,47,184,76,107,1910,1827
"47","ARHGAP4",18555.1024193269,-2.61201644305888,0.563831969410272,-4.63261500725271,3.61075630855386e-06,0.000822407367724873,9678,35803,4504,3164,14895,47247
"48","JUND",8798.15918997789,-2.10985191188671,0.456258475556781,-4.62424705494407,3.7596155382365e-06,0.000838472590350454,5305,20669,2458,2892,8262,16332
"49","TNS3",233.432316563857,-4.82220107359253,1.04530258998585,-4.61321068156713,3.96496037597979e-06,0.000866222465813543,25,20,11,15,368,850
"50","UBXN6",691.571932194539,-3.50635440443074,0.763279254574965,-4.59380283613665,4.35240627838607e-06,0.000931850184202457,254,513,82,53,756,2360
"51","C5AR1",278.950914587217,-3.99068092808292,0.881122728080577,-4.52908635869166,5.92392847508488e-06,0.00124344420246635,17,127,34,42,365,980
"52","ECE1",777.948268574765,-3.67013993103348,0.814710229070298,-4.50484086252562,6.64227001447421e-06,0.00136741347124897,287,852,89,30,619,2729
"53","MDM2",4198.30987217905,2.70327072462406,0.606510511884352,4.45708800037997,8.30805041236975e-06,0.0016469940678596,6095,1746,7073,8155,1427,404
"54","ABCG1",297.577039194017,-4.5338922458056,1.01643165125666,-4.46059726711593,8.17315534654975e-06,0.0016469940678596,45,27,12,24,760,779
"55","CCN2",743.453827184536,-2.62465110226475,0.589881399285493,-4.44945561166011,8.60882192731369e-06,0.00167558979512533,223,700,175,228,1322,1683
